,Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery
1365,2014Q3,S08000029,Breast,86,86,10.0,0.0,367250.0,0.0,0.0,0.0
1366,2014Q3,S08000029,Cervical,6,6,10.0,0.0,367250.0,0.0,0.0,0.0
1367,2014Q3,S08000029,Colorectal,110,110,10.0,0.0,367250.0,0.0,0.0,0.0
1368,2014Q3,S08000029,Head & Neck,24,22,10.0,0.0,367250.0,0.0,0.0,0.0
1369,2014Q3,S08000029,Lung,130,130,10.0,0.0,367250.0,0.0,0.0,0.0
1370,2014Q3,S08000029,Lymphoma,36,36,10.0,0.0,367250.0,0.0,0.0,0.0
1371,2014Q3,S08000029,Melanoma,12,12,10.0,0.0,367250.0,0.0,0.0,0.0
1372,2014Q3,S08000029,Ovarian,14,14,10.0,0.0,367250.0,0.0,0.0,0.0
1373,2014Q3,S08000029,Upper GI,52,52,10.0,0.0,367250.0,0.0,0.0,0.0
1374,2014Q3,S08000029,Urological,206,182,10.0,0.0,367250.0,0.0,0.0,0.0
1375,2014Q3,S08000030,Breast,192,192,10.0,0.0,413800.0,0.0,0.0,0.0
1376,2014Q3,S08000030,Cervical,18,18,10.0,0.0,413800.0,0.0,0.0,0.0
1377,2014Q3,S08000030,Colorectal,146,142,10.0,0.0,413800.0,0.0,0.0,0.0
1378,2014Q3,S08000030,Head & Neck,44,42,10.0,0.0,413800.0,0.0,0.0,0.0
1379,2014Q3,S08000030,Lung,190,188,10.0,0.0,413800.0,0.0,0.0,0.0
1380,2014Q3,S08000030,Melanoma,60,56,10.0,0.0,413800.0,0.0,0.0,0.0
1381,2014Q3,S08000030,Upper GI,148,148,10.0,0.0,413800.0,0.0,0.0,0.0
1382,2014Q3,S08000030,Urological,264,248,10.0,0.0,413800.0,0.0,0.0,0.0
1383,2014Q3,S08000031,Breast,732,662,10.0,0.0,1142590.0,0.0,0.0,0.0
1384,2014Q3,S08000031,Cervical,16,16,10.0,0.0,1142590.0,0.0,0.0,0.0
1385,2014Q3,S08000031,Colorectal,460,446,10.0,0.0,1142590.0,0.0,0.0,0.0
1386,2014Q3,S08000031,Head & Neck,166,166,10.0,0.0,1142590.0,0.0,0.0,0.0
1387,2014Q3,S08000031,Lung,666,666,10.0,0.0,1142590.0,0.0,0.0,0.0
1388,2014Q3,S08000031,Lymphoma,144,144,10.0,0.0,1142590.0,0.0,0.0,0.0
1389,2014Q3,S08000031,Melanoma,152,152,10.0,0.0,1142590.0,0.0,0.0,0.0
1390,2014Q3,S08000031,Ovarian,48,48,10.0,0.0,1142590.0,0.0,0.0,0.0
1391,2014Q3,S08000031,Upper GI,262,254,10.0,0.0,1142590.0,0.0,0.0,0.0
1392,2014Q3,S08000031,Urological,568,500,10.0,0.0,1142590.0,0.0,0.0,0.0
1393,2014Q3,S08000032,Breast,154,152,10.0,0.0,653300.0,0.0,0.0,0.0
1394,2014Q3,S08000032,Cervical,14,14,10.0,0.0,653300.0,0.0,0.0,0.0
1395,2014Q3,S08000032,Colorectal,160,160,10.0,0.0,653300.0,0.0,0.0,0.0
1396,2014Q3,S08000032,Head & Neck,64,64,10.0,0.0,653300.0,0.0,0.0,0.0
1397,2014Q3,S08000032,Lung,218,218,10.0,0.0,653300.0,0.0,0.0,0.0
1398,2014Q3,S08000032,Lymphoma,52,52,10.0,0.0,653300.0,0.0,0.0,0.0
1399,2014Q3,S08000032,Melanoma,54,54,10.0,0.0,653300.0,0.0,0.0,0.0
1400,2014Q3,S08000032,Ovarian,18,18,10.0,0.0,653300.0,0.0,0.0,0.0
1401,2014Q3,S08000032,Upper GI,84,84,10.0,0.0,653300.0,0.0,0.0,0.0
1402,2014Q3,S08000032,Urological,200,188,10.0,0.0,653300.0,0.0,0.0,0.0
1403,2014Q4,S08000015,Breast,208,208,11.0,0.0,371140.0,0.0,0.0,0.0
1404,2014Q4,S08000015,Cervical,4,4,11.0,0.0,371140.0,0.0,0.0,0.0
1405,2014Q4,S08000015,Colorectal,100,98,11.0,0.0,371140.0,0.0,0.0,0.0
1406,2014Q4,S08000015,Head & Neck,40,38,11.0,0.0,371140.0,0.0,0.0,0.0
1407,2014Q4,S08000015,Lung,158,158,11.0,0.0,371140.0,0.0,0.0,0.0
1408,2014Q4,S08000015,Lymphoma,30,30,11.0,0.0,371140.0,0.0,0.0,0.0
1409,2014Q4,S08000015,Melanoma,40,40,11.0,0.0,371140.0,0.0,0.0,0.0
1410,2014Q4,S08000015,Ovarian,18,18,11.0,0.0,371140.0,0.0,0.0,0.0
1411,2014Q4,S08000015,Upper GI,98,98,11.0,0.0,371140.0,0.0,0.0,0.0
1412,2014Q4,S08000015,Urological,182,178,11.0,0.0,371140.0,0.0,0.0,0.0
1413,2014Q4,S08000016,Breast,44,44,11.0,0.0,114040.0,0.0,0.0,0.0
1414,2014Q4,S08000016,Cervical,2,2,11.0,0.0,114040.0,0.0,0.0,0.0
1415,2014Q4,S08000016,Colorectal,26,26,11.0,0.0,114040.0,0.0,0.0,0.0
1416,2014Q4,S08000016,Head & Neck,6,6,11.0,0.0,114040.0,0.0,0.0,0.0
1417,2014Q4,S08000016,Lung,56,56,11.0,0.0,114040.0,0.0,0.0,0.0
1418,2014Q4,S08000016,Lymphoma,12,12,11.0,0.0,114040.0,0.0,0.0,0.0
1419,2014Q4,S08000016,Melanoma,20,20,11.0,0.0,114040.0,0.0,0.0,0.0
1420,2014Q4,S08000016,Ovarian,16,16,11.0,0.0,114040.0,0.0,0.0,0.0
1421,2014Q4,S08000016,Upper GI,46,46,11.0,0.0,114040.0,0.0,0.0,0.0
1422,2014Q4,S08000016,Urological,54,46,11.0,0.0,114040.0,0.0,0.0,0.0
1423,2014Q4,S08000017,Breast,38,38,11.0,0.0,149960.0,0.0,0.0,0.0
1424,2014Q4,S08000017,Cervical,2,2,11.0,0.0,149960.0,0.0,0.0,0.0
1425,2014Q4,S08000017,Colorectal,44,44,11.0,0.0,149960.0,0.0,0.0,0.0
1426,2014Q4,S08000017,Head & Neck,14,14,11.0,0.0,149960.0,0.0,0.0,0.0
1427,2014Q4,S08000017,Lung,82,82,11.0,0.0,149960.0,0.0,0.0,0.0
1428,2014Q4,S08000017,Lymphoma,30,30,11.0,0.0,149960.0,0.0,0.0,0.0
1429,2014Q4,S08000017,Melanoma,22,22,11.0,0.0,149960.0,0.0,0.0,0.0
1430,2014Q4,S08000017,Ovarian,6,6,11.0,0.0,149960.0,0.0,0.0,0.0
1431,2014Q4,S08000017,Upper GI,46,46,11.0,0.0,149960.0,0.0,0.0,0.0
1432,2014Q4,S08000017,Urological,120,112,11.0,0.0,149960.0,0.0,0.0,0.0
1433,2014Q4,S08000019,Breast,94,90,11.0,0.0,300400.0,0.0,0.0,0.0
1434,2014Q4,S08000019,Cervical,14,12,11.0,0.0,300400.0,0.0,0.0,0.0
1435,2014Q4,S08000019,Colorectal,90,90,11.0,0.0,300400.0,0.0,0.0,0.0
1436,2014Q4,S08000019,Head & Neck,22,22,11.0,0.0,300400.0,0.0,0.0,0.0
1437,2014Q4,S08000019,Lung,138,138,11.0,0.0,300400.0,0.0,0.0,0.0
1438,2014Q4,S08000019,Lymphoma,32,32,11.0,0.0,300400.0,0.0,0.0,0.0
1439,2014Q4,S08000019,Melanoma,30,28,11.0,0.0,300400.0,0.0,0.0,0.0
1440,2014Q4,S08000019,Ovarian,22,22,11.0,0.0,300400.0,0.0,0.0,0.0
1441,2014Q4,S08000019,Upper GI,64,64,11.0,0.0,300400.0,0.0,0.0,0.0
1442,2014Q4,S08000019,Urological,134,134,11.0,0.0,300400.0,0.0,0.0,0.0
1443,2014Q4,S08000020,Breast,204,202,11.0,0.0,584220.0,0.0,0.0,0.0
1444,2014Q4,S08000020,Cervical,20,20,11.0,0.0,584220.0,0.0,0.0,0.0
1445,2014Q4,S08000020,Colorectal,152,152,11.0,0.0,584220.0,0.0,0.0,0.0
1446,2014Q4,S08000020,Head & Neck,60,60,11.0,0.0,584220.0,0.0,0.0,0.0
1447,2014Q4,S08000020,Lung,202,200,11.0,0.0,584220.0,0.0,0.0,0.0
1448,2014Q4,S08000020,Lymphoma,22,22,11.0,0.0,584220.0,0.0,0.0,0.0
1449,2014Q4,S08000020,Melanoma,58,58,11.0,0.0,584220.0,0.0,0.0,0.0
1450,2014Q4,S08000020,Ovarian,32,30,11.0,0.0,584220.0,0.0,0.0,0.0
1451,2014Q4,S08000020,Upper GI,116,114,11.0,0.0,584220.0,0.0,0.0,0.0
1452,2014Q4,S08000020,Urological,162,152,11.0,0.0,584220.0,0.0,0.0,0.0
1453,2014Q4,S08000022,Breast,116,114,11.0,0.0,320730.0,0.0,0.0,0.0
1454,2014Q4,S08000022,Cervical,2,2,11.0,0.0,320730.0,0.0,0.0,0.0
1455,2014Q4,S08000022,Colorectal,76,74,11.0,0.0,320730.0,0.0,0.0,0.0
1456,2014Q4,S08000022,Head & Neck,28,28,11.0,0.0,320730.0,0.0,0.0,0.0
1457,2014Q4,S08000022,Lung,108,108,11.0,0.0,320730.0,0.0,0.0,0.0
1458,2014Q4,S08000022,Lymphoma,40,40,11.0,0.0,320730.0,0.0,0.0,0.0
1459,2014Q4,S08000022,Melanoma,30,24,11.0,0.0,320730.0,0.0,0.0,0.0
1460,2014Q4,S08000022,Ovarian,18,18,11.0,0.0,320730.0,0.0,0.0,0.0
1461,2014Q4,S08000022,Upper GI,58,56,11.0,0.0,320730.0,0.0,0.0,0.0
1462,2014Q4,S08000022,Urological,106,94,11.0,0.0,320730.0,0.0,0.0,0.0
1463,2014Q4,S08000024,Breast,464,464,11.0,0.0,858120.0,0.0,0.0,0.0
1464,2014Q4,S08000024,Cervical,38,36,11.0,0.0,858120.0,0.0,0.0,0.0
1465,2014Q4,S08000024,Colorectal,212,204,11.0,0.0,858120.0,0.0,0.0,0.0
1466,2014Q4,S08000024,Head & Neck,70,68,11.0,0.0,858120.0,0.0,0.0,0.0
1467,2014Q4,S08000024,Lung,340,340,11.0,0.0,858120.0,0.0,0.0,0.0
1468,2014Q4,S08000024,Lymphoma,62,62,11.0,0.0,858120.0,0.0,0.0,0.0
1469,2014Q4,S08000024,Melanoma,106,106,11.0,0.0,858120.0,0.0,0.0,0.0
1470,2014Q4,S08000024,Ovarian,28,26,11.0,0.0,858120.0,0.0,0.0,0.0
1471,2014Q4,S08000024,Upper GI,98,98,11.0,0.0,858120.0,0.0,0.0,0.0
1472,2014Q4,S08000024,Urological,294,274,11.0,0.0,858120.0,0.0,0.0,0.0
1473,2014Q4,S08000025,Breast,4,4,11.0,0.0,21580.0,0.0,0.0,0.0
1474,2014Q4,S08000025,Colorectal,2,2,11.0,0.0,21580.0,0.0,0.0,0.0
1475,2014Q4,S08000025,Head & Neck,2,2,11.0,0.0,21580.0,0.0,0.0,0.0
1476,2014Q4,S08000025,Lung,2,2,11.0,0.0,21580.0,0.0,0.0,0.0
1477,2014Q4,S08000025,Upper GI,2,2,11.0,0.0,21580.0,0.0,0.0,0.0
1478,2014Q4,S08000025,Urological,4,4,11.0,0.0,21580.0,0.0,0.0,0.0
1479,2014Q4,S08000026,Breast,12,12,11.0,0.0,23220.0,0.0,0.0,0.0
1480,2014Q4,S08000026,Colorectal,12,12,11.0,0.0,23220.0,0.0,0.0,0.0
1481,2014Q4,S08000026,Head & Neck,2,2,11.0,0.0,23220.0,0.0,0.0,0.0
1482,2014Q4,S08000026,Lung,2,2,11.0,0.0,23220.0,0.0,0.0,0.0
1483,2014Q4,S08000026,Melanoma,6,6,11.0,0.0,23220.0,0.0,0.0,0.0
1484,2014Q4,S08000026,Upper GI,4,4,11.0,0.0,23220.0,0.0,0.0,0.0
1485,2014Q4,S08000026,Urological,6,6,11.0,0.0,23220.0,0.0,0.0,0.0
1486,2014Q4,S08000028,Colorectal,12,12,11.0,0.0,27250.0,0.0,0.0,0.0
1487,2014Q4,S08000028,Lung,10,10,11.0,0.0,27250.0,0.0,0.0,0.0
1488,2014Q4,S08000028,Upper GI,14,14,11.0,0.0,27250.0,0.0,0.0,0.0
1489,2014Q4,S08000029,Breast,84,84,11.0,0.0,367250.0,0.0,0.0,0.0
1490,2014Q4,S08000029,Cervical,14,14,11.0,0.0,367250.0,0.0,0.0,0.0
1491,2014Q4,S08000029,Colorectal,114,114,11.0,0.0,367250.0,0.0,0.0,0.0
1492,2014Q4,S08000029,Head & Neck,34,32,11.0,0.0,367250.0,0.0,0.0,0.0
1493,2014Q4,S08000029,Lung,118,116,11.0,0.0,367250.0,0.0,0.0,0.0
1494,2014Q4,S08000029,Lymphoma,52,52,11.0,0.0,367250.0,0.0,0.0,0.0
1495,2014Q4,S08000029,Melanoma,24,22,11.0,0.0,367250.0,0.0,0.0,0.0
1496,2014Q4,S08000029,Ovarian,20,18,11.0,0.0,367250.0,0.0,0.0,0.0
1497,2014Q4,S08000029,Upper GI,64,64,11.0,0.0,367250.0,0.0,0.0,0.0
1498,2014Q4,S08000029,Urological,130,110,11.0,0.0,367250.0,0.0,0.0,0.0
1499,2014Q4,S08000030,Breast,230,228,11.0,0.0,413800.0,0.0,0.0,0.0
1500,2014Q4,S08000030,Cervical,22,18,11.0,0.0,413800.0,0.0,0.0,0.0
1501,2014Q4,S08000030,Colorectal,170,170,11.0,0.0,413800.0,0.0,0.0,0.0
1502,2014Q4,S08000030,Head & Neck,28,26,11.0,0.0,413800.0,0.0,0.0,0.0
1503,2014Q4,S08000030,Lung,152,150,11.0,0.0,413800.0,0.0,0.0,0.0
1504,2014Q4,S08000030,Melanoma,94,88,11.0,0.0,413800.0,0.0,0.0,0.0
1505,2014Q4,S08000030,Upper GI,118,118,11.0,0.0,413800.0,0.0,0.0,0.0
1506,2014Q4,S08000030,Urological,246,224,11.0,0.0,413800.0,0.0,0.0,0.0
1507,2014Q4,S08000031,Breast,716,700,11.0,0.0,1142590.0,0.0,0.0,0.0
1508,2014Q4,S08000031,Cervical,36,36,11.0,0.0,1142590.0,0.0,0.0,0.0
1509,2014Q4,S08000031,Colorectal,358,352,11.0,0.0,1142590.0,0.0,0.0,0.0
1510,2014Q4,S08000031,Head & Neck,170,164,11.0,0.0,1142590.0,0.0,0.0,0.0
1511,2014Q4,S08000031,Lung,564,564,11.0,0.0,1142590.0,0.0,0.0,0.0
1512,2014Q4,S08000031,Lymphoma,134,134,11.0,0.0,1142590.0,0.0,0.0,0.0
1513,2014Q4,S08000031,Melanoma,154,154,11.0,0.0,1142590.0,0.0,0.0,0.0
1514,2014Q4,S08000031,Ovarian,40,40,11.0,0.0,1142590.0,0.0,0.0,0.0
1515,2014Q4,S08000031,Upper GI,234,228,11.0,0.0,1142590.0,0.0,0.0,0.0
1516,2014Q4,S08000031,Urological,574,516,11.0,0.0,1142590.0,0.0,0.0,0.0
1517,2014Q4,S08000032,Breast,174,174,11.0,0.0,653300.0,0.0,0.0,0.0
1518,2014Q4,S08000032,Cervical,18,18,11.0,0.0,653300.0,0.0,0.0,0.0
1519,2014Q4,S08000032,Colorectal,160,160,11.0,0.0,653300.0,0.0,0.0,0.0
1520,2014Q4,S08000032,Head & Neck,56,56,11.0,0.0,653300.0,0.0,0.0,0.0
1521,2014Q4,S08000032,Lung,198,198,11.0,0.0,653300.0,0.0,0.0,0.0
1522,2014Q4,S08000032,Lymphoma,36,36,11.0,0.0,653300.0,0.0,0.0,0.0
1523,2014Q4,S08000032,Melanoma,66,66,11.0,0.0,653300.0,0.0,0.0,0.0
1524,2014Q4,S08000032,Ovarian,36,36,11.0,0.0,653300.0,0.0,0.0,0.0
1525,2014Q4,S08000032,Upper GI,88,88,11.0,0.0,653300.0,0.0,0.0,0.0
1526,2014Q4,S08000032,Urological,240,226,11.0,0.0,653300.0,0.0,0.0,0.0
1527,2015Q1,S08000015,Breast,216,216,12.0,0.0,370590.0,0.0,0.0,0.0
1528,2015Q1,S08000015,Cervical,16,16,12.0,0.0,370590.0,0.0,0.0,0.0
1529,2015Q1,S08000015,Colorectal,118,114,12.0,0.0,370590.0,0.0,0.0,0.0
1530,2015Q1,S08000015,Head & Neck,38,38,12.0,0.0,370590.0,0.0,0.0,0.0
1531,2015Q1,S08000015,Lung,148,148,12.0,0.0,370590.0,0.0,0.0,0.0
1532,2015Q1,S08000015,Lymphoma,50,50,12.0,0.0,370590.0,0.0,0.0,0.0
1533,2015Q1,S08000015,Melanoma,60,60,12.0,0.0,370590.0,0.0,0.0,0.0
1534,2015Q1,S08000015,Ovarian,24,24,12.0,0.0,370590.0,0.0,0.0,0.0
1535,2015Q1,S08000015,Upper GI,90,90,12.0,0.0,370590.0,0.0,0.0,0.0
1536,2015Q1,S08000015,Urological,166,164,12.0,0.0,370590.0,0.0,0.0,0.0
1537,2015Q1,S08000016,Breast,30,30,12.0,0.0,114030.0,0.0,0.0,0.0
1538,2015Q1,S08000016,Colorectal,56,54,12.0,0.0,114030.0,0.0,0.0,0.0
1539,2015Q1,S08000016,Head & Neck,12,12,12.0,0.0,114030.0,0.0,0.0,0.0
1540,2015Q1,S08000016,Lung,24,24,12.0,0.0,114030.0,0.0,0.0,0.0
1541,2015Q1,S08000016,Lymphoma,12,12,12.0,0.0,114030.0,0.0,0.0,0.0
1542,2015Q1,S08000016,Melanoma,12,10,12.0,0.0,114030.0,0.0,0.0,0.0
1543,2015Q1,S08000016,Ovarian,4,4,12.0,0.0,114030.0,0.0,0.0,0.0
1544,2015Q1,S08000016,Upper GI,32,32,12.0,0.0,114030.0,0.0,0.0,0.0
1545,2015Q1,S08000016,Urological,58,52,12.0,0.0,114030.0,0.0,0.0,0.0
1546,2015Q1,S08000017,Breast,48,48,12.0,0.0,149670.0,0.0,0.0,0.0
1547,2015Q1,S08000017,Cervical,2,2,12.0,0.0,149670.0,0.0,0.0,0.0
1548,2015Q1,S08000017,Colorectal,58,58,12.0,0.0,149670.0,0.0,0.0,0.0
1549,2015Q1,S08000017,Head & Neck,16,16,12.0,0.0,149670.0,0.0,0.0,0.0
1550,2015Q1,S08000017,Lung,76,76,12.0,0.0,149670.0,0.0,0.0,0.0
1551,2015Q1,S08000017,Lymphoma,24,24,12.0,0.0,149670.0,0.0,0.0,0.0
1552,2015Q1,S08000017,Melanoma,16,16,12.0,0.0,149670.0,0.0,0.0,0.0
1553,2015Q1,S08000017,Ovarian,10,10,12.0,0.0,149670.0,0.0,0.0,0.0
1554,2015Q1,S08000017,Upper GI,34,32,12.0,0.0,149670.0,0.0,0.0,0.0
1555,2015Q1,S08000017,Urological,78,62,12.0,0.0,149670.0,0.0,0.0,0.0
1556,2015Q1,S08000019,Breast,76,66,12.0,0.0,302650.0,0.0,0.0,0.0
1557,2015Q1,S08000019,Cervical,14,14,12.0,0.0,302650.0,0.0,0.0,0.0
1558,2015Q1,S08000019,Colorectal,78,76,12.0,0.0,302650.0,0.0,0.0,0.0
1559,2015Q1,S08000019,Head & Neck,34,34,12.0,0.0,302650.0,0.0,0.0,0.0
1560,2015Q1,S08000019,Lung,102,102,12.0,0.0,302650.0,0.0,0.0,0.0
1561,2015Q1,S08000019,Lymphoma,26,26,12.0,0.0,302650.0,0.0,0.0,0.0
1562,2015Q1,S08000019,Melanoma,32,32,12.0,0.0,302650.0,0.0,0.0,0.0
1563,2015Q1,S08000019,Ovarian,10,10,12.0,0.0,302650.0,0.0,0.0,0.0
1564,2015Q1,S08000019,Upper GI,72,72,12.0,0.0,302650.0,0.0,0.0,0.0
1565,2015Q1,S08000019,Urological,148,146,12.0,0.0,302650.0,0.0,0.0,0.0
1566,2015Q1,S08000020,Breast,176,176,12.0,0.0,587820.0,0.0,0.0,0.0
1567,2015Q1,S08000020,Cervical,10,10,12.0,0.0,587820.0,0.0,0.0,0.0
1568,2015Q1,S08000020,Colorectal,148,148,12.0,0.0,587820.0,0.0,0.0,0.0
1569,2015Q1,S08000020,Head & Neck,58,56,12.0,0.0,587820.0,0.0,0.0,0.0
1570,2015Q1,S08000020,Lung,158,156,12.0,0.0,587820.0,0.0,0.0,0.0
1571,2015Q1,S08000020,Lymphoma,70,68,12.0,0.0,587820.0,0.0,0.0,0.0
1572,2015Q1,S08000020,Melanoma,56,56,12.0,0.0,587820.0,0.0,0.0,0.0
1573,2015Q1,S08000020,Ovarian,24,24,12.0,0.0,587820.0,0.0,0.0,0.0
1574,2015Q1,S08000020,Upper GI,144,142,12.0,0.0,587820.0,0.0,0.0,0.0
1575,2015Q1,S08000020,Urological,266,224,12.0,0.0,587820.0,0.0,0.0,0.0
1576,2015Q1,S08000022,Breast,138,130,12.0,0.0,321000.0,0.0,0.0,0.0
1577,2015Q1,S08000022,Cervical,2,2,12.0,0.0,321000.0,0.0,0.0,0.0
1578,2015Q1,S08000022,Colorectal,80,80,12.0,0.0,321000.0,0.0,0.0,0.0
1579,2015Q1,S08000022,Head & Neck,34,30,12.0,0.0,321000.0,0.0,0.0,0.0
1580,2015Q1,S08000022,Lung,90,88,12.0,0.0,321000.0,0.0,0.0,0.0
1581,2015Q1,S08000022,Lymphoma,22,22,12.0,0.0,321000.0,0.0,0.0,0.0
1582,2015Q1,S08000022,Melanoma,24,24,12.0,0.0,321000.0,0.0,0.0,0.0
1583,2015Q1,S08000022,Ovarian,18,18,12.0,0.0,321000.0,0.0,0.0,0.0
1584,2015Q1,S08000022,Upper GI,54,54,12.0,0.0,321000.0,0.0,0.0,0.0
1585,2015Q1,S08000022,Urological,156,138,12.0,0.0,321000.0,0.0,0.0,0.0
1586,2015Q1,S08000024,Breast,466,466,12.0,0.0,867800.0,0.0,0.0,0.0
1587,2015Q1,S08000024,Cervical,56,56,12.0,0.0,867800.0,0.0,0.0,0.0
1588,2015Q1,S08000024,Colorectal,156,142,12.0,0.0,867800.0,0.0,0.0,0.0
1589,2015Q1,S08000024,Head & Neck,82,82,12.0,0.0,867800.0,0.0,0.0,0.0
1590,2015Q1,S08000024,Lung,308,308,12.0,0.0,867800.0,0.0,0.0,0.0
1591,2015Q1,S08000024,Lymphoma,82,82,12.0,0.0,867800.0,0.0,0.0,0.0
1592,2015Q1,S08000024,Melanoma,90,90,12.0,0.0,867800.0,0.0,0.0,0.0
1593,2015Q1,S08000024,Ovarian,18,18,12.0,0.0,867800.0,0.0,0.0,0.0
1594,2015Q1,S08000024,Upper GI,92,92,12.0,0.0,867800.0,0.0,0.0,0.0
1595,2015Q1,S08000024,Urological,262,222,12.0,0.0,867800.0,0.0,0.0,0.0
1596,2015Q1,S08000025,Breast,2,2,12.0,0.0,21670.0,0.0,0.0,0.0
1597,2015Q1,S08000025,Colorectal,4,4,12.0,0.0,21670.0,0.0,0.0,0.0
1598,2015Q1,S08000026,Breast,8,8,12.0,0.0,23200.0,0.0,0.0,0.0
1599,2015Q1,S08000026,Colorectal,4,4,12.0,0.0,23200.0,0.0,0.0,0.0
1600,2015Q1,S08000026,Head & Neck,2,2,12.0,0.0,23200.0,0.0,0.0,0.0
1601,2015Q1,S08000026,Lung,4,4,12.0,0.0,23200.0,0.0,0.0,0.0
1602,2015Q1,S08000026,Melanoma,2,2,12.0,0.0,23200.0,0.0,0.0,0.0
1603,2015Q1,S08000026,Upper GI,8,8,12.0,0.0,23200.0,0.0,0.0,0.0
1604,2015Q1,S08000026,Urological,10,10,12.0,0.0,23200.0,0.0,0.0,0.0
1605,2015Q1,S08000028,Breast,2,2,12.0,0.0,27070.0,0.0,0.0,0.0
1606,2015Q1,S08000028,Cervical,2,2,12.0,0.0,27070.0,0.0,0.0,0.0
1607,2015Q1,S08000028,Colorectal,6,6,12.0,0.0,27070.0,0.0,0.0,0.0
1608,2015Q1,S08000028,Head & Neck,4,4,12.0,0.0,27070.0,0.0,0.0,0.0
1609,2015Q1,S08000028,Lung,10,10,12.0,0.0,27070.0,0.0,0.0,0.0
1610,2015Q1,S08000028,Lymphoma,2,2,12.0,0.0,27070.0,0.0,0.0,0.0
1611,2015Q1,S08000028,Upper GI,8,8,12.0,0.0,27070.0,0.0,0.0,0.0
1612,2015Q1,S08000029,Breast,100,98,12.0,0.0,368080.0,0.0,0.0,0.0
1613,2015Q1,S08000029,Cervical,8,6,12.0,0.0,368080.0,0.0,0.0,0.0
1614,2015Q1,S08000029,Colorectal,80,80,12.0,0.0,368080.0,0.0,0.0,0.0
1615,2015Q1,S08000029,Head & Neck,24,24,12.0,0.0,368080.0,0.0,0.0,0.0
1616,2015Q1,S08000029,Lung,170,168,12.0,0.0,368080.0,0.0,0.0,0.0
1617,2015Q1,S08000029,Lymphoma,46,46,12.0,0.0,368080.0,0.0,0.0,0.0
1618,2015Q1,S08000029,Melanoma,30,26,12.0,0.0,368080.0,0.0,0.0,0.0
1619,2015Q1,S08000029,Ovarian,10,10,12.0,0.0,368080.0,0.0,0.0,0.0
1620,2015Q1,S08000029,Upper GI,66,64,12.0,0.0,368080.0,0.0,0.0,0.0
1621,2015Q1,S08000029,Urological,162,138,12.0,0.0,368080.0,0.0,0.0,0.0
1622,2015Q1,S08000030,Breast,182,180,12.0,0.0,415040.0,0.0,0.0,0.0
1623,2015Q1,S08000030,Cervical,20,16,12.0,0.0,415040.0,0.0,0.0,0.0
1624,2015Q1,S08000030,Colorectal,136,134,12.0,0.0,415040.0,0.0,0.0,0.0
1625,2015Q1,S08000030,Head & Neck,40,34,12.0,0.0,415040.0,0.0,0.0,0.0
1626,2015Q1,S08000030,Lung,154,150,12.0,0.0,415040.0,0.0,0.0,0.0
1627,2015Q1,S08000030,Lymphoma,34,34,12.0,0.0,415040.0,0.0,0.0,0.0
1628,2015Q1,S08000030,Melanoma,52,48,12.0,0.0,415040.0,0.0,0.0,0.0
1629,2015Q1,S08000030,Ovarian,8,8,12.0,0.0,415040.0,0.0,0.0,0.0
1630,2015Q1,S08000030,Upper GI,138,138,12.0,0.0,415040.0,0.0,0.0,0.0
1631,2015Q1,S08000030,Urological,214,188,12.0,0.0,415040.0,0.0,0.0,0.0
1632,2015Q1,S08000031,Breast,714,684,12.0,0.0,1149890.0,0.0,0.0,0.0
1633,2015Q1,S08000031,Cervical,22,22,12.0,0.0,1149890.0,0.0,0.0,0.0
1634,2015Q1,S08000031,Colorectal,374,370,12.0,0.0,1149890.0,0.0,0.0,0.0
1635,2015Q1,S08000031,Head & Neck,170,166,12.0,0.0,1149890.0,0.0,0.0,0.0
1636,2015Q1,S08000031,Lung,634,630,12.0,0.0,1149890.0,0.0,0.0,0.0
1637,2015Q1,S08000031,Lymphoma,166,166,12.0,0.0,1149890.0,0.0,0.0,0.0
1638,2015Q1,S08000031,Melanoma,114,114,12.0,0.0,1149890.0,0.0,0.0,0.0
1639,2015Q1,S08000031,Ovarian,38,38,12.0,0.0,1149890.0,0.0,0.0,0.0
1640,2015Q1,S08000031,Upper GI,266,266,12.0,0.0,1149890.0,0.0,0.0,0.0
1641,2015Q1,S08000031,Urological,588,526,12.0,0.0,1149890.0,0.0,0.0,0.0
1642,2015Q1,S08000032,Breast,154,140,12.0,0.0,654490.0,0.0,0.0,0.0
1643,2015Q1,S08000032,Cervical,10,10,12.0,0.0,654490.0,0.0,0.0,0.0
1644,2015Q1,S08000032,Colorectal,150,150,12.0,0.0,654490.0,0.0,0.0,0.0
1645,2015Q1,S08000032,Head & Neck,60,60,12.0,0.0,654490.0,0.0,0.0,0.0
1646,2015Q1,S08000032,Lung,232,230,12.0,0.0,654490.0,0.0,0.0,0.0
1647,2015Q1,S08000032,Lymphoma,60,60,12.0,0.0,654490.0,0.0,0.0,0.0
1648,2015Q1,S08000032,Melanoma,46,44,12.0,0.0,654490.0,0.0,0.0,0.0
1649,2015Q1,S08000032,Ovarian,22,22,12.0,0.0,654490.0,0.0,0.0,0.0
1650,2015Q1,S08000032,Upper GI,70,70,12.0,0.0,654490.0,0.0,0.0,0.0
